                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.2069,                0.78065,                 1.1588,                 0.8309,                0.77943,                0.82484,                0.50418,                 1.2919,                0.80513,                 1.2418,                0.00835,                0.00835,                0.00835
                     52,                  1.196,                0.77327,                 1.1533,                0.83489,                0.78607,                0.82441,                 0.4988,                 1.3047,                0.79891,                 1.2488,               0.008317,               0.008317,               0.008317
                     53,                 1.1894,                 0.7594,                 1.1444,                0.82609,                0.79468,                0.82977,                  0.504,                 1.2944,                0.79883,                 1.2409,               0.008284,               0.008284,               0.008284
                     54,                  1.189,                0.77088,                 1.1483,                0.83993,                0.79299,                0.83648,                0.51078,                 1.2829,                0.78366,                 1.2358,               0.008251,               0.008251,               0.008251
                     55,                 1.1949,                0.76635,                 1.1539,                0.83989,                0.79427,                0.82994,                0.51178,                 1.2758,                0.78579,                 1.2282,               0.008218,               0.008218,               0.008218
                     56,                 1.1811,                0.75399,                 1.1443,                 0.8285,                0.79467,                0.83084,                0.51241,                 1.2744,                0.78259,                 1.2348,               0.008185,               0.008185,               0.008185
                     57,                 1.1865,                0.75382,                 1.1459,                0.84126,                0.78251,                 0.8345,                0.51312,                 1.2708,                0.78807,                 1.2284,               0.008152,               0.008152,               0.008152
                     58,                 1.1692,                0.74818,                  1.142,                0.83897,                0.78447,                0.83354,                0.51347,                 1.2713,                0.77784,                 1.2309,               0.008119,               0.008119,               0.008119
                     59,                 1.1736,                0.75334,                 1.1432,                0.83485,                0.79187,                0.83337,                0.51421,                 1.2782,                0.77597,                  1.239,               0.008086,               0.008086,               0.008086
                     60,                 1.1683,                0.74566,                 1.1326,                0.83027,                0.79871,                0.83392,                0.51592,                  1.255,                0.77166,                 1.2212,               0.008053,               0.008053,               0.008053
